url,type,source_page
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000058.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000059.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000060.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/block/00000036/00000061.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00120000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00110000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000012/block/00000038/00000062.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00120000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000012/block/00000039/00000063.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00120000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000012/block/00000039/00000064.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00120000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000012/block/00000039/00000065.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00120000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000012/block/00000039/00000066.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00120000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000012/block/00000039/00000067.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00120000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000012/block/00000039/00000068.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00120000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00130000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00120000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000013/block/00000041/00000069.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00130000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000013/block/00000042/00000070.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00130000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000013/block/00000042/00000071.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00130000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000013/block/00000042/00000072.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00130000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000013/block/00000042/00000073.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00130000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000013/block/00000042/00000074.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/index00130000.html
